title,format,link,code
1.《白话机器学习的数学》原版PDF+立石贤吾,PDF,link,code
4.统计学习方法  第2版,PDF,link,code
Deep Learning With Pytorch_ (Z-Library),PDF,link,code
Effective Python 90 Specifi_ (Z-Library),PDF,link,code
"Fluent Python Clear, Concis_ (Z-Library)",PDF,link,code
Hands-On Large Language Mod_ (Z-Library),EPUB,link,code
Hands-On Large Language Mod_ (Z-Library),PDF,link,code
Hands-on Machine Learning w_ (Z-Library),PDF,link,code
Impractical Python Projects_ (Z-Library),PDF,link,code
Learn Python 3 the Hard Way_ (Z-Library),EPUB,link,code
"Learning Python, 5th Editio_ (Z-Library)",PDF,link,code
Programming Python Powerful_ (Z-Library),PDF,link,code
Python 3 Object-Oriented Pr_ (Z-Library),PDF,link,code
Python神经网络编程 Make Your Own_ (Z-Library),PDF,link,code
TensorFlow深度学习 (Glancarlo Z_ (Z-Library),PDF,link,code
The Big Book of Small Pytho_ (Z-Library),PDF,link,code
The Hitchhiker’s Guide To P_ (Z-Library),PDF,link,code
"Think Python, 2nd Edition H_ (Z-Library)",PDF,link,code
人工智能算法（卷1）：基础算法 ([美] 杰弗瑞·希顿_ (Z-Library),PDF,link,code
人工智能算法（卷2）：受大自然启发的算法【文字版】 (_ (Z-Library),PDF,link,code
人工智能算法（卷3）：深度学习和神经网络 ([美] 杰_ (Z-Library),PDF,link,code
动手深度学习-PyTorch(第二版) (Aston_ (Z-Library),PDF,link,code
图解机器学习 (（日）杉山将著) (Z-Library),PDF,link,code
图解深度学习 (山下隆义) (Z-Library),PDF,link,code
机器学习 Machine Learning (Chin_ (Z-Library),PDF,link,code
"机器学习公式详解 (谢文睿  秦州, 周志华，谢文睿，_ (Z-Library)",PDF,link,code
Big History • The Greatest_ (Z-Library),PDF,link,code
《你一定爱读的极简欧洲史（增订纪念版）》（简约不简单的_ (Z-Library),EPUB,link,code
上下五千年(珍藏版)(套装共3册) (林达汉  曹余章) (Z-Library),PDF,link,code
中国古代文化常识（好看好玩通俗易懂，一本不容错过的中国_ (Z-Library),EPUB,link,code
中国古代物质文化丛书（套装6册） (聂璜  李诫  计_ (Z-Library),EPUB,link,code
五万年中国简史（全二册）（从头一批智人踏上中华大地到2_ (Z-Library),PDF,link,code
人文社会科学是什么(增订版)(套装共6册) (葛剑雄_ (Z-Library),PDF,link,code
华夏国学经典全本全注全译丛书（12本组套)（论语、周易、老子、孟子、大学中庸、孙子兵法、三十六计、山海经、笠翁对韵、增广贤文弟子规、三... (Z-Library),EPUB,link,code
华夏美学·美学四讲 （增订本） (李泽厚著) (Z-Library),PDF,link,code
古人名字解诂 (吉常宏  吉發涵) (Z-Library)-1,EPUB,link,code
名言警句大全集 (楊茜彥 [楊茜彥]) (Z-Library),EPUB,link,code
简明世界历史读本 (郭小凌  侯建新  刘北成  于沛_ (Z-Library),EPUB,link,code
"素书全集（精悍、强大的经世奇谋；比《孙子兵法》更实用的智略宝典） (古聖先賢, 黄石公 著, 张坤 校译, 中華傳統文化, 文言文助讀) (Z-Library)",EPUB,link,code
蒙求·历代蒙求·四字鉴略诵读本--“中华诵·经典诵读行动”读本系列 (中华书局出品) (“中华诵·经典诵读行动”读本编委会) (Z-Library),EPUB,link,code
透过地理看历史系列（全3册）完美适配微信读书 (李不白) (Z-Library),EPUB,link,code
《毛泽东选集》一到七卷 (毛泽东【著】 静火、润之赤旗_ (Z-Library),PDF,link,code
做哲学：88个思想实验中的哲学导论 (希克) (Z-Library),PDF,link,code
刘擎西方现代思想讲义 (刘擎) (Z-Library),PDF,link,code
